,Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F
18673,5104,Southern Africa,1144,"Meat indigenous, rabbit",5510,Production,tonnes,648.0,A,648.0,A,648.0,A,648.0,A,648.0,A,648.0,A,648.0,A,684.0,A,684.0,A,684.0,A,720.0,A,720.0,A,720.0,A,756.0,A,756.0,A,756.0,A,810.0,A,810.0,A,810.0,A,850.0,A,850.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,990.0,A,990.0,A,990.0,A,990.0,A,990.0,A,990.0,A
18674,5104,Southern Africa,1012,"Meat indigenous, sheep",5322,Production,Head,9383293.0,A,10401844.0,A,10809332.0,A,11171959.0,A,11537127.0,A,11884270.0,A,12224520.0,A,12549625.0,A,13725238.0,A,11634867.0,A,12195255.0,A,11223192.0,A,10228342.0,A,9876183.0,A,10333890.0,A,10451683.0,A,10375702.0,A,11081375.0,A,11245484.0,A,11251593.0,A,11030992.0,A,10951983.0,A,10885813.0,A,10944428.0,A,10958120.0,A,9055093.0,A,10747497.0,A,10879831.0,A,10973914.0,A,10932668.0,A,11662026.0,A,11497525.0,A,10510050.0,A,10315155.0,A,9498247.0,A,8142937.0,A,7272675.0,A,7231240.0,A,9801437.0,A,10224658.0,A,7498369.0,A,7312688.0,A,7004266.0,A,6798841.0,A,7074730.0,A,7207714.0,A,6303366.0,A,6652596.0,A,7134416.0,A,6957717.0,A,6186725.0,A,6523551.0,A,6592951.0,A
18676,5104,Southern Africa,1012,"Meat indigenous, sheep",5510,Production,tonnes,116107.0,A,118800.0,A,117672.0,A,119475.0,A,134964.0,A,140546.0,A,144573.0,A,169619.0,A,193323.0,A,174529.0,A,187077.0,A,201730.0,A,151604.0,A,128877.0,A,136450.0,A,142906.0,A,139990.0,A,147529.0,A,153167.0,A,152415.0,A,150565.0,A,148150.0,A,146636.0,A,148112.0,A,149084.0,A,126506.0,A,142311.0,A,146493.0,A,150251.0,A,150997.0,A,152154.0,A,145692.0,A,138569.0,A,133668.0,A,121011.0,A,109388.0,A,96846.0,A,100884.0,A,131304.0,A,136749.0,A,112734.0,A,118409.0,A,131462.0,A,130086.0,A,129124.0,A,132468.0,A,114881.0,A,146290.0,A,159293.0,A,153922.0,A,142615.0,A,152705.0,A,154330.0,A
18677,5104,Southern Africa,1087,"Meat indigenous, turkey",5323,Production,1000 Head,240.0,A,245.0,A,250.0,A,255.0,A,260.0,A,330.0,A,270.0,A,275.0,A,280.0,A,280.0,A,285.0,A,290.0,A,295.0,A,300.0,A,300.0,A,300.0,A,300.0,A,300.0,A,310.0,A,320.0,A,325.0,A,330.0,A,335.0,A,340.0,A,345.0,A,345.0,A,345.0,A,350.0,A,355.0,A,360.0,A,365.0,A,365.0,A,365.0,A,370.0,A,380.0,A,385.0,A,390.0,A,407.0,A,414.0,A,413.0,A,417.0,A,464.0,A,511.0,A,611.0,A,629.0,A,629.0,A,630.0,A,649.0,A,652.0,A,656.0,A,663.0,A,663.0,A,663.0,A
18679,5104,Southern Africa,1087,"Meat indigenous, turkey",5510,Production,tonnes,1920.0,A,1960.0,A,2000.0,A,2040.0,A,2080.0,A,2640.0,A,2160.0,A,2200.0,A,2240.0,A,2240.0,A,2280.0,A,2320.0,A,2360.0,A,2400.0,A,2400.0,A,2400.0,A,2400.0,A,2400.0,A,2480.0,A,2560.0,A,2600.0,A,2640.0,A,2680.0,A,2720.0,A,2760.0,A,2760.0,A,2760.0,A,2800.0,A,2840.0,A,2880.0,A,2920.0,A,2920.0,A,2920.0,A,2960.0,A,3040.0,A,3080.0,A,3120.0,A,3256.0,A,3312.0,A,3300.0,A,3336.0,A,3712.0,A,4088.0,A,4888.0,A,5032.0,A,5032.0,A,5040.0,A,5192.0,A,5216.0,A,5248.0,A,5304.0,A,5304.0,A,5304.0,A
18683,5104,Southern Africa,1089,"Meat, bird nes",5510,Production,tonnes,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,10.0,A,15.0,A,20.0,A,50.0,A,50.0,A,250.0,A,650.0,A,1050.0,A,750.0,A,1050.0,A,1400.0,A,1750.0,A,2050.0,A,2500.0,A,2650.0,A,2750.0,A,2900.0,A,3250.0,A,3500.0,A,3750.0,A,4050.0,A,4050.0,A,4050.0,A,4210.0,A
18686,5104,Southern Africa,867,"Meat, cattle",5510,Production,tonnes,436455.0,A,443919.0,A,485740.0,A,515259.0,A,519257.0,A,499406.0,A,447743.0,A,419962.0,A,457348.0,A,469547.0,A,499612.0,A,554333.0,A,584604.0,A,620252.0,A,592107.0,A,603012.0,A,638447.0,A,677433.0,A,757975.0,A,688639.0,A,640198.0,A,685171.0,A,691226.0,A,729717.0,A,757830.0,A,710524.0,A,696251.0,A,641107.0,A,643197.0,A,710076.0,A,794260.0,A,843080.0,A,784291.0,A,669462.0,A,641892.0,A,592905.0,A,880386.0,A,621746.0,A,654822.0,A,702539.0,A,681943.0,A,679925.0,A,736366.0,A,787132.0,A,846801.0,A,928319.0,A,925564.0,A,895815.0,A,904793.0,A,1004510.0,A,988200.0,A,987400.0,A,1055496.0,A
18689,5104,Southern Africa,1058,"Meat, chicken",5510,Production,tonnes,33293.0,A,39048.0,A,43363.0,A,50484.0,A,57655.0,A,67500.0,A,78902.0,A,90225.0,A,100070.0,A,106622.0,A,110593.0,A,129198.0,A,154664.0,A,150353.0,A,173394.0,A,198419.0,A,199248.0,A,213409.0,A,215463.0,A,235580.0,A,247572.0,A,266600.0,A,292984.0,A,298460.0,A,320714.0,A,335975.0,A,345764.0,A,356500.0,A,367734.0,A,542320.0,A,507690.0,A,504356.0,A,531874.0,A,567630.0,A,613664.0,A,661740.0,A,708380.0,A,684250.0,A,727630.0,A,839469.0,A,918532.0,A,949158.0,A,925979.0,A,931850.0,A,973300.0,A,993540.0,A,1150790.0,A,1351933.0,A,1411755.0,A,1496367.0,A,1511123.0,A,1514962.0,A,1699640.0,A
18692,5104,Southern Africa,1069,"Meat, duck",5510,Production,tonnes,485.0,A,490.0,A,495.0,A,500.0,A,505.0,A,508.0,A,510.0,A,513.0,A,515.0,A,523.0,A,525.0,A,528.0,A,540.0,A,545.0,A,555.0,A,563.0,A,570.0,A,588.0,A,600.0,A,613.0,A,625.0,A,625.0,A,638.0,A,650.0,A,663.0,A,663.0,A,663.0,A,663.0,A,663.0,A,663.0,A,663.0,A,663.0,A,663.0,A,725.0,A,775.0,A,863.0,A,925.0,A,975.0,A,1025.0,A,1000.0,A,1030.0,A,1030.0,A,1030.0,A,1030.0,A,1030.0,A,1030.0,A,1038.0,A,1063.0,A,1075.0,A,1095.0,A,1108.0,A,1117.0,A,1131.0,A
18693,5104,Southern Africa,1163,"Meat, game",5510,Production,tonnes,10290.0,A,10380.0,A,11480.0,A,11570.0,A,11660.0,A,12760.0,A,12860.0,A,12970.0,A,13570.0,A,14180.0,A,13290.0,A,13400.0,A,14510.0,A,15630.0,A,13750.0,A,14850.0,A,15900.0,A,16950.0,A,18000.0,A,20100.0,A,21200.0,A,21300.0,A,21400.0,A,21500.0,A,21600.0,A,21700.0,A,21800.0,A,21900.0,A,22000.0,A,24083.0,A,18650.0,A,19489.0,A,21574.0,A,23742.0,A,26158.0,A,27216.0,A,30009.0,A,31800.0,A,33800.0,A,35242.0,A,36904.0,A,37037.0,A,40165.0,A,42457.0,A,41751.0,A,46228.0,A,52640.0,A,57616.0,A,62883.0,A,68250.0,A,80900.0,A,79509.0,A,78428.0,A
18696,5104,Southern Africa,1017,"Meat, goat",5510,Production,tonnes,27793.0,A,27160.0,A,29287.0,A,30220.0,A,30497.0,A,31376.0,A,31541.0,A,31430.0,A,33624.0,A,33945.0,A,34947.0,A,34950.0,A,35392.0,A,36180.0,A,36790.0,A,36500.0,A,37200.0,A,38790.0,A,39025.0,A,40280.0,A,39240.0,A,39790.0,A,40430.0,A,41322.0,A,42216.0,A,43594.0,A,45170.0,A,46560.0,A,48244.0,A,49270.0,A,26622.0,A,27084.0,A,25800.0,A,21556.0,A,23510.0,A,22736.0,A,22980.0,A,20260.0,A,22020.0,A,23745.0,A,22415.0,A,22969.0,A,23574.0,A,23824.0,A,22499.0,A,22592.0,A,23099.0,A,23527.0,A,23697.0,A,24033.0,A,24212.0,A,24112.0,A,23407.0,A
18699,5104,Southern Africa,1073,"Meat, goose and guinea fowl",5510,Production,tonnes,322.0,A,326.0,A,329.0,A,333.0,A,336.0,A,340.0,A,343.0,A,347.0,A,350.0,A,354.0,A,357.0,A,361.0,A,364.0,A,364.0,A,368.0,A,371.0,A,373.0,A,375.0,A,376.0,A,378.0,A,380.0,A,382.0,A,385.0,A,392.0,A,392.0,A,392.0,A,392.0,A,392.0,A,392.0,A,396.0,A,396.0,A,396.0,A,389.0,A,406.0,A,417.0,A,424.0,A,434.0,A,441.0,A,452.0,A,441.0,A,452.0,A,452.0,A,452.0,A,455.0,A,455.0,A,455.0,A,473.0,A,473.0,A,480.0,A,480.0,A,483.0,A,483.0,A,484.0,A
18702,5104,Southern Africa,1097,"Meat, horse",5510,Production,tonnes,2000.0,A,2000.0,A,2000.0,A,1800.0,A,1800.0,A,1600.0,A,1600.0,A,1600.0,A,1200.0,A,1200.0,A,1200.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1000.0,A,1200.0,A,1400.0,A,1600.0,A,1700.0,A,1400.0,A,1400.0,A,1400.0,A,1500.0,A,1500.0,A,1500.0,A,1500.0,A,1500.0,A,1479.0,A,1500.0,A,1520.0,A,1520.0,A,1880.0,A,1980.0,A,2100.0,A,1797.0,A,1497.0,A
18703,5104,Southern Africa,1166,"Meat, nes",5510,Production,tonnes,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200.0,A,550.0,A,800.0,A,1500.0,A,800.0,A,1100.0,A,500.0,A,400.0,A,300.0,A,540.0,A,537.0,A,536.0,A,548.0,A,561.0,A,641.0,A,661.0,A,682.0,A,704.0,A,727.0,A,749.0,A,773.0,A,910.0,A,804.0,A,759.0,A
18706,5104,Southern Africa,1035,"Meat, pig",5510,Production,tonnes,60149.0,A,61907.0,A,61175.0,A,66313.0,A,68279.0,A,70435.0,A,78680.0,A,75790.0,A,86673.0,A,84875.0,A,83215.0,A,94330.0,A,104760.0,A,95935.0,A,92530.0,A,98059.0,A,99244.0,A,93570.0,A,93103.0,A,94087.0,A,100723.0,A,117210.0,A,118888.0,A,115854.0,A,112957.0,A,110718.0,A,114246.0,A,122099.0,A,133534.0,A,137765.0,A,129742.0,A,133965.0,A,130857.0,A,120312.0,A,126991.0,A,136402.0,A,127822.0,A,131775.0,A,124215.0,A,121698.0,A,124448.0,A,124710.0,A,155190.0,A,166325.0,A,170890.0,A,194735.0,A,200556.0,A,187492.0,A,194388.0,A,212005.0,A,211140.0,A,218773.0,A,226400.0,A
18709,5104,Southern Africa,1141,"Meat, rabbit",5510,Production,tonnes,648.0,A,648.0,A,648.0,A,648.0,A,648.0,A,648.0,A,648.0,A,684.0,A,684.0,A,684.0,A,720.0,A,720.0,A,720.0,A,756.0,A,756.0,A,756.0,A,810.0,A,810.0,A,810.0,A,850.0,A,850.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,900.0,A,990.0,A,990.0,A,990.0,A,990.0,A,1002.0,A,1040.0,A
18712,5104,Southern Africa,977,"Meat, sheep",5510,Production,tonnes,115398.0,A,118542.0,A,116467.0,A,117825.0,A,134005.0,A,140269.0,A,144241.0,A,169005.0,A,192636.0,A,174121.0,A,186813.0,A,201250.0,A,151109.0,A,128439.0,A,135865.0,A,141868.0,A,139400.0,A,146845.0,A,153215.0,A,153221.0,A,148918.0,A,147832.0,A,146876.0,A,147736.0,A,148940.0,A,125270.0,A,140462.0,A,145039.0,A,148715.0,A,148580.0,A,200656.0,A,179718.0,A,165223.0,A,124324.0,A,109122.0,A,115771.0,A,109824.0,A,108186.0,A,132747.0,A,121079.0,A,114626.0,A,117960.0,A,133042.0,A,150936.0,A,149967.0,A,154078.0,A,187329.0,A,182359.0,A,181682.0,A,175119.0,A,166032.0,A,175378.0,A,197610.0,A
